#"Potential Energy (kJ/mole)","Temperature (K)"
-67546.26810243458,0.39737388237873866
-67563.70560243458,0.0034816489250578714
-67563.70560243458,2.385143587326065e-05
-67563.70560243458,1.4440733365765926e-06
-67563.73685243458,1.266842029484093e-06
-67563.76810243458,1.5299778763838554e-06
-67563.83060243458,1.209708794169978e-06
-67563.84622743458,1.2205547283980357e-06
-67563.76810243458,1.367912946032694e-06
-67563.70560243458,1.350956307348964e-06
-66994.76810243458,20.469172391337597
-67105.42435243458,20.28938771893185
-67154.53372743458,20.40233715310051
-67221.03372743458,19.69502844287798
-67228.51810243458,20.201821076715113
-67214.11185243458,20.296149788372144
-67243.28372743458,19.77195791315677
-67289.93997743458,19.998876469227127
-67294.25247743458,20.20502739550935
-67295.59622743458,19.56615198772025
-66615.87747743458,40.31267637330582
-66737.78372743458,39.29248073011564
-66747.23685243458,40.71647694456243
-66742.93997743458,39.95057073716012
-66868.95560243458,40.55904439395484
-66765.45560243458,40.170172516966055
-66846.81497743458,39.923538307799404
-66874.14310243458,40.59869978233249
-66880.20560243458,40.789000250587996
-66926.89310243458,39.98929936331483
-66242.40872743458,60.47159831640345
-66318.89310243458,61.31156917255618
-66385.92435243458,60.46924140182578
-66502.37747743458,62.50618308458051
-66528.17435243458,61.19283314010223
-66578.29935243458,59.50666658478753
-66658.17435243458,60.14933309221585
-66580.01810243458,61.8819065644296
-66702.37747743458,60.89399137661064
-66689.73685243458,60.99070947910975
-66025.39310243458,80.01909882792849
-66051.39310243458,77.60251771652946
-66038.86185243458,79.70691052131116
-66192.28372743458,78.48610543587859
-66146.47122743458,79.20548438616548
-66242.08060243458,79.15070738006148
-66162.73685243458,79.45199141605809
-66231.20560243458,79.68178529058267
-66325.54935243458,79.95021625762564
-66230.72122743458,79.14959881951334
-65514.22122743458,101.41744268904375
-65447.58060243458,98.47129741136294
-65654.20560243458,103.54549189164833
-65606.06497743458,98.50189145195145
-65662.72122743458,98.8960888218204
-65733.15872743458,98.3319594612044
-65655.51810243458,103.09811996334456
-65643.22122743458,96.69004142737607
-65746.67435243458,100.34191995576568
-65751.31497743458,103.05821976871357
-64904.58060243458,117.35409647495551
-65046.59622743458,121.23983814986042
-65039.79935243458,121.39749640496792
-65032.54935243458,122.42648449330684
-65229.83060243458,120.28823250921933
-65114.31497743458,118.27369234225043
-65219.36185243458,119.6690562873755
-65247.04935243458,121.43998757799098
-65106.11185243458,122.2998287669607
-65280.23685243458,122.59479652788016
-64409.08060243458,139.38505308455717
-64491.45560243458,137.7156591804564
-64441.42435243458,135.9218545616277
-64609.86185243458,138.61490151418928
-64511.28372743458,140.4173331315624
-64369.92435243458,138.85509715016238
-64454.72122743458,140.2710786296937
-64566.51810243458,138.3203177945165
-64488.79935243458,141.49451043029123
-64655.14310243458,137.56249462275852
-63845.89310243458,163.07262878781
-63706.67435243458,160.98087028904186
-63785.29935243458,161.28928222676362
-63727.70560243458,163.10676109721237
-63895.23685243458,158.93141344522303
-63781.61185243458,164.22883293041576
-63824.23685243458,160.88720946837432
-63845.83060243458,165.86186687152994
-63862.51810243458,162.66327576559777
-63981.61185243458,161.0882789815379
-62879.67435243458,183.19867067670992
-62861.97122743458,176.80002701495064
-62897.06497743458,178.01325935135307
-62984.67435243458,179.03741852181545
-62964.04935243458,183.45421230162034
-63035.98685243458,181.8819037191083
-62924.09622743458,181.45839778015338
-63067.01810243458,179.57186716145537
-63096.00247743458,183.3427260872379
-63148.39310243458,176.99354480708013
-61807.43997743458,200.91013556435385
-61743.89310243458,200.50032768877378
-61519.79935243458,201.27535349781422
-61740.87747743458,197.67600370632314
-61907.67435243458,199.15620483814135
-61593.36185243458,198.04140629406353
-61909.70560243458,203.4213662943594
-61493.58060243458,203.84858393169068
-61308.04935243458,199.3389580251011
-61525.17435243458,197.98308471953052
-59978.01810243458,218.78439223326276
-59689.09622743458,216.28051282985672
-59526.17435243458,223.96222069370197
-59409.17435243458,215.26271279535376
-59623.36185243458,214.04606887943186
-59531.09622743458,219.61902234116806
-59488.61185243458,218.42845727825934
-59570.06497743458,216.04739402982798
-59852.36185243458,213.998888011514
-59778.06497743458,216.36406335391672
-58021.37747743458,238.10754576271003
-57617.98685243458,239.29485299671575
-57965.72122743458,236.25253768296605
-57944.78372743458,239.1760493002558
-57414.54935243458,245.81891930789942
-57557.56497743458,240.56681567387534
-57643.73685243458,239.51998245906984
-57756.01810243458,247.40045822724227
-57487.81497743458,241.7385640270837
-57662.11185243458,240.86413420699225
-56105.83060243458,257.3785255977581
-55957.79935243458,254.66244940787664
-56199.78372743458,255.58439692905182
-55873.92435243458,259.91474332392124
-56119.98685243458,263.9972586689477
-55955.58060243458,266.2371029601395
-56369.11185243458,264.8255450281177
-55910.73685243458,254.37803897867184
-55880.33060243458,253.8297810011126
-56262.15872743458,261.7918329318429
-54863.29935243458,276.6199739756204
-54734.78372743458,273.4787642922466
-54417.67435243458,291.61678449023066
-54441.14310243458,278.38997174265035
-54619.64310243458,287.6617194086514
-54666.20560243458,274.7137289489351
-54897.22122743458,280.0054384769281
-54455.08060243458,280.2837842122304
-54682.90872743458,281.7444519383373
-54723.14310243458,286.6378852952326
-53640.76810243458,291.1764996347101
-53735.06497743458,301.0574234761794
-53403.89310243458,297.2671570780548
-53355.98685243458,308.22395269385675
-53451.39310243458,294.88681529011274
-52898.98685243458,310.5362226546742
-52848.29935243458,304.3431230260978
-53515.42435243458,307.4914186897853
-53386.70560243458,289.528766208499
-53375.84622743458,297.91104311310073
-52891.78372743458,306.7564187395472
-53011.92435243458,295.3769391722088
-53122.93997743458,288.6741152137623
-53210.59622743458,301.91318916793324
-53228.36185243458,294.0424890115805
-53371.42435243458,294.43092706809017
-53205.04935243458,293.35852375984956
-52756.51810243458,296.5604023692359
-53123.78372743458,293.58678691410853
-53103.33060243458,303.75757229821625
-52893.39310243458,305.57556235756107
-53441.23685243458,304.4804590196235
-53212.36185243458,291.68361844851535
-53079.78372743458,303.6593369411317
-53400.81497743458,293.3763336466806
-53294.09622743458,298.9747871181353
-53439.78372743458,302.1187673670563
-53213.89310243458,307.2858637419707
-53030.48685243458,294.0718956186688
-52775.90872743458,300.7666896783839
-53272.03372743458,302.2940857807697
-53250.17435243458,299.97237008626456
-53760.98685243458,301.97017901239786
-52977.06497743458,304.45675956068555
-53238.70560243458,297.1004470984333
-53288.29935243458,298.9763544320654
-53021.33060243458,298.45068018161294
-53569.64310243458,297.04516890149597
-53500.20560243458,292.42108834275325
-53073.62747743458,299.01189600366115
-53211.34622743458,302.46726930981424
-53113.48685243458,304.8587295878599
-53548.39310243458,299.85889955532974
-53520.67435243458,297.1287741169113
-53368.04935243458,306.4582828411874
-53536.09622743458,296.8984700572455
-52975.87747743458,301.94680277402153
-53159.04935243458,304.79533334898156
-53224.33060243458,302.2357422491382
-53207.62747743458,288.94418725960196
-52969.98685243458,301.4980266059651
-53021.59622743458,302.3102959473194
-53171.56497743458,295.35506485319695
-53229.67435243458,308.130296133735
-53228.98685243458,294.08491260418725
-53562.42435243458,305.74374450468315
-53247.33060243458,299.8996255249884
-53018.12747743458,298.1178408137576
-53109.11185243458,303.1893373159599
-53160.04935243458,298.9984883865764
-53330.20560243458,298.5045965825779
-53455.59622743458,310.0369213911434
-53188.93997743458,302.3581530064289
-52985.20560243458,307.8864785862607
-53038.00247743458,299.51017457290243
-53213.39310243458,292.3104294426655
-52925.54935243458,307.6337627538097
-53055.50247743458,300.363991797836
-53421.64310243458,306.587765811866
-53598.76810243458,299.06648698320987
-53416.23685243458,294.50383227737933
-53280.23685243458,304.5326181648301
-52999.67435243458,305.51027366825986
-53359.95560243458,301.1158345720777
-53053.89310243458,300.4570069330717
-53356.20560243458,297.4311071492432
-53013.95560243458,295.21678790760325
-53300.09622743458,302.919132256668
-52889.79935243458,299.80178530654695
-53220.95560243458,301.5171250097147
-53205.12747743458,305.46575521181967
-52744.37747743458,306.5205029544908
-53134.86185243458,296.63510594185954
-53090.67435243458,306.0338557564049
-52989.70560243458,295.3272230759471
-53453.61185243458,300.0032101254013
-53015.67435243458,297.351109263672
-53003.76810243458,300.215748042356
-53110.23685243458,306.58505278258
-52936.92435243458,306.3319010932317
-52971.92435243458,304.0857343545896
-53271.11185243458,301.4717211878695
-53185.01810243458,312.1151692394237
-53014.00247743458,295.79529047079
-53513.26810243458,296.7641289388547
-53054.76810243458,300.20027830720744
-53447.36185243458,304.64732718486806
-53651.64310243458,300.7367801039981
-53308.11185243458,305.00144621917025
-53414.00247743458,296.05963729186055
-53667.43997743458,307.3565965257608
-52949.76810243458,302.9243975001243
-53020.14310243458,310.9003415039012
-53352.61185243458,301.43952917120237
-52776.36185243458,312.2682264335641
-53501.95560243458,298.9210885712271
-53231.54935243458,299.82451871917755
-53322.83060243458,293.83617198431847
-53500.89310243458,302.48766874315794
-53466.01810243458,301.2982319044073
-52827.00247743458,308.4147648868507
-53035.25247743458,302.52463223015394
-52985.48685243458,295.03480361757414
-52821.26810243458,297.6926140730994
-53160.42435243458,309.9728374105125
-53256.42435243458,300.38858763335094
-53356.42435243458,296.9485755765188
-53325.64310243458,304.62327543583564
-53475.67435243458,295.6649086588463
-53171.95560243458,305.2852078209525
-53344.81497743458,298.480447359353
-53384.70560243458,292.94550575741664
-53220.90872743458,302.99948399996975
-52917.83060243458,300.92767358147773
-53391.92435243458,300.6487135617337
-53172.08060243458,306.19543066505537
-53407.83060243458,303.1388966754293
-53019.42435243458,291.7834584271513
-53164.73685243458,304.196906752805
-52938.83060243458,304.48258237323506
-53115.79935243458,291.28234853644494
-53274.73685243458,306.6325422082477
-53046.54935243458,301.9630346197577
-53637.56497743458,299.3394795254883
-53016.31497743458,301.95647353983236
-53524.54935243458,300.46197233083444
-53364.64310243458,296.8784783928276
-52986.54935243458,304.89112631064984
-53105.48685243458,305.54328699298713
-53212.45560243458,293.741872668113
-53067.39310243458,294.40245542943813
-53163.92435243458,300.6833597217669
-52962.45560243458,308.64909002372775
-53095.39310243458,293.6137142736059
-52979.37747743458,303.7439094822422
-53268.20560243458,299.7338847670546
-53568.50247743458,299.06408096274953
-52932.26810243458,300.8399939926523
-53295.89310243458,301.0243417659289
-53315.43997743458,299.8699335451569
-53416.92435243458,297.9403683561365
-53014.11185243458,307.4360522836688
-53743.45560243458,303.4234926084111
-53267.04935243458,297.966788241828
-52707.01810243458,302.76024765487927
-53970.93997743458,305.85223387285686
-53337.86185243458,305.79046677197357
-53524.29935243458,292.75063741547064
-53019.62747743458,294.31639778410124
-52939.58060243458,307.8579026210517
-53132.42435243458,303.66423435215296
-52750.73685243458,299.8530723719245
-52931.84622743458,296.5101541174896
-52845.26810243458,293.2741591681397
-52961.92435243458,310.50344203838216
-53410.40872743458,295.7313723356656
-52952.79935243458,302.15301988876666
-53038.23685243458,294.37500066384695
-52977.37747743458,304.9753256182755
-53195.04935243458,310.17195109613306
-53252.23685243458,300.54353126926316
-53481.48685243458,303.55719349324767
-53466.31497743458,300.47193094622065
-53210.83060243458,302.14432399081255
-53141.23685243458,297.0745311233635
-53176.33060243458,299.28833950924826
-53689.73685243458,299.8134024881676
-53538.17435243458,301.6423234030363
-53016.39310243458,296.08905964096436
-52560.76810243458,298.2217701734354
-53407.67435243458,295.5337465276264
-52821.89310243458,309.6336641548353
-52913.29935243458,308.95160783557964
-53082.87747743458,314.7734504380615
-53281.45560243458,290.5647760346873
-53135.11185243458,299.6667211117172
-53299.58060243458,301.5459297928883
-53606.29935243458,299.74277816814237
-53251.11185243458,300.68754627293197
-53128.98685243458,297.4949217047529
-53104.79935243458,295.1091471083273
-53315.84622743458,303.0873410435378
-53255.76810243458,301.57424605675584
-52446.86185243458,298.19347988571013
-53082.00247743458,307.40283548414294
-53171.95560243458,307.11170758559354
-53032.08060243458,298.1036930758822
-53418.95560243458,300.7016228760659
-52699.12747743458,295.63151962309155
-53145.31497743458,298.5486520180714
-53143.08060243458,302.60788230301256
-53443.09622743458,300.47510434075224
-53025.08060243458,296.1325600641951
-53280.97122743458,300.4368095153458
-53080.43997743458,298.84106046274246
-52993.04935243458,293.2715673913655
-53398.36185243458,302.500180341817
-53100.36185243458,294.29107425698123
-52890.54935243458,293.95486141424425
